[198��2026 20:08:34.940] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--username, hao888, --version, Create��Feature Engineering, --gameDir, D:\Software\Minecraft\CFE\versions\Create��Feature Engineering, --assetsDir, D:\Software\Minecraft\CFE\assets, --assetIndex, 17, --uuid, e719705383833a3dbfde10a3b2fa8966, --accessToken, ????????, --clientId, ${clientid}, --xuid, ${auth_xuid}, --userType, msa, --versionType, PCLCE, --width, 854, --height, 480, --fml.neoForgeVersion, 21.1.248, --fml.fmlVersion, 4.0.43, --fml.mcVersion, 1.21.1, --fml.neoFormVersion, 20240808.144430, --launchTarget, forgeclient]
[198��2026 20:08:34.943] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: JVM identified as Oracle Corporation Java HotSpot(TM) 64-Bit Server VM 21.0.11+9-LTS-211
[198��2026 20:08:34.944] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 11.0.5+main.901c6ea8 starting: java version 21.0.11 by Oracle Corporation; OS Windows 10 arch amd64 version 10.0
[198��2026 20:08:35.459] [main/INFO] [Sodium-GraphicsAdapterProbe/]: Searching for graphics cards...
[198��2026 20:08:35.756] [main/INFO] [Sodium-GraphicsAdapterProbe/]: Found graphics adapter: AdapterInfo{vendor=NVIDIA, description='NVIDIA GeForce RTX 3050 Laptop GPU', adapterType=0x00000313, openglIcdFilePath='C:\Windows\System32\DriverStore\FileRepository\nvcvi.inf_amd64_c50a3f34a3a4ced8\nvoglv64.dll', openglIcdVersion=32.0.16.1088}
[198��2026 20:08:35.756] [main/INFO] [Sodium-GraphicsAdapterProbe/]: Found graphics adapter: AdapterInfo{vendor=INTEL, description='Intel(R) UHD Graphics', adapterType=0x0000032B, openglIcdFilePath='C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_23a1c1315f01c788\ig12icd64.dll', openglIcdVersion=27.20.100.9365}
[198��2026 20:08:35.759] [main/WARN] [Sodium-Workarounds/]: Sodium has applied one or more workarounds to prevent crashes or other issues on your system: [NVIDIA_THREADED_OPTIMIZATIONS_BROKEN]
[198��2026 20:08:35.759] [main/WARN] [Sodium-Workarounds/]: This is not necessarily an issue, but it may result in certain features or optimizations being disabled. You can sometimes fix these issues by upgrading your graphics driver.
[198��2026 20:08:35.759] [main/INFO] [Sodium-NvidiaWorkarounds/]: Modifying process environment to apply workarounds for the NVIDIA graphics driver...
[198��2026 20:08:36.156] [main/INFO] [net.neoforged.fml.loading.ImmediateWindowHandler/]: Loading ImmediateWindowProvider fmlearlywindow
[198��2026 20:08:36.238] [main/INFO] [EARLYDISPLAY/]: Trying GL version 4.6
[198��2026 20:08:36.630] [main/INFO] [EARLYDISPLAY/]: Requested GL version 4.6 got version 4.6
[198��2026 20:08:36.739] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=union:/D:/Software/Minecraft/CFE/libraries/net/fabricmc/sponge-mixin/0.15.2+mixin.0.8.7/sponge-mixin-0.15.2+mixin.0.8.7.jar%23175!/ Service=ModLauncher Env=CLIENT
[198��2026 20:08:36.752] [main/INFO] [Hotai/]: Reading patched classes
[198��2026 20:08:36.952] [pool-2-thread-1/INFO] [EARLYDISPLAY/]: GL info: NVIDIA GeForce RTX 3050 Laptop GPU/PCIe/SSE2 GL version 4.6.0 NVIDIA 610.88, NVIDIA Corporation
[198��2026 20:08:37.030] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "client-1.21.1-20240808.144430-srg.jar" [locator: production client provider +net.neoforged:neoforge:21.1.248:client]
[198��2026 20:08:37.045] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "neoforge-21.1.248-universal.jar" [locator: PathBasedLocator[name=neoforge, paths=[D:\Software\Minecraft\CFE\libraries\net\neoforged\neoforge\21.1.248\neoforge-21.1.248-universal.jar]], reader: mod manifest]
[198��2026 20:08:37.066] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "net.caffeinemc.sodium-neoforge-0.8.13-beta.2+mc1.21.1-mod.jar" [locator: net.caffeinemc.mods.sodium.service.SodiumServiceModLocator@77134e08, reader: mod manifest]
[198��2026 20:08:37.072] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "fabric-rendering-data-attachment-v1-0.3.48+73761d2e19.jar" [locator: net.caffeinemc.mods.sodium.service.SodiumServiceModLocator@77134e08, reader: mod manifest]
